procedure_id;name;description;price
PC-XX-01;Laboratorium Patologi Klinik;Melakukan Pemeriksaan Hematologi;50000
PC-XX-02;Laboratorium Patologi Anatomi;Melakukan pemeriksaan papsmear, Sitologi, Hispatologi, Imunohistokimia, dan Biopsi Jarum Halus.;146000
PC-XX-03;Laboratorium Mikrobiologi Klinik;Melakukan pemeriksaan Mikrobiologi Rutin, Kultur, dan test Resistens;99000
PC-XX-04;Laboratorium Imunologi Klinik;Melakukan pemeriksaan darah mendeteksi awal adanya virus dan diagnosis infeksi seperti Widal, Anti Dengeu IgG & IgM, CRP, Rhematoid Factor (RF), HBsAg (Hepatitis B) dan Anti Hbs.;82000
PC-XX-05;Laboratorium Pemeriksaan Sperma;Melakukan pemeriksaan untuk menganalisis kuantitas dan kualitas sperma pada pria. Prosedur ini juga digunakan untuk menentukan tingkat kesuburan pria.;355000
PC-XX-06;Bank Darah;Untuk memudahkan pasien yang membutuhkan transfusi darah secepatnya maka kami menyediakan fasilitas Bank Darah yang beroperasi 24 Jam.;510000
PC-XX-07;USG 4D;USG adalah pemeriksaan yang tidak menyakitkan dan nyaman dengan menggunakan gelombang suara. Fasilitas USG SHBK mampu mengelaborasi perfusi dan oksigenasi jaringan serta fibroscan untuk mendeteksi sirosis hati dini. ;382000
PC-XX-08;MSCT Scan-128 Slice;Pada prinsipnya, CT scan dapat digunakan untuk memeriksa seluruh tubuh dari kepala hingga ujung kaki, namun kegunaan CT scan untuk mengevaluasi tiap-tiap organ/anggota tubuh sangat beragam karena sensitivitas dan spesifisitas pemeriksaan CT Scan untuk organ-organ tubuh tertentu tidaklah sama. Ada pemeriksaan CT Scan terhadap organ tubuh atau kelainan tertentu yang mempunyai sensitifitas dan spesifisitasnya tinggi, dalam arti CT scan sangat sensitive untuk menemukan kelainan pada organ tersebut atau sangat spesifik dalam arti CT scan dapat membedakan dengan jelas suatu kelainan;3130000
PC-XX-09;MRI 1.5 Tesla;MRI atau Magnetic Resonance Imaging adalah suatu jenis pemeriksaan radiologiyang mempergunakan gelombang elektromagnetik untuk memperoleh informasi mengenai berbagai kelainan pada tubuh, seperti adanya tumor/kanker, infeksi, trauma, kelainan pembuluh darah, penyakit keturunan / genetis dan lain sebagainya . Informasi yang diperoleh dari hasil pemeriksaan MRI ini dipergunakan untuk menunjang penegakkan diagnosis penyakit secara tepat dan akurat serta memantau perjalanan penyakit dan hasil terapi.;2500000
PC-XX-10;Fisioterapi;proses merehabilitasi seseorang agar terhindar dari cacat fisik melalui serangkaian pencegahan, diagnosis, serta penanganan untuk menangani gangguan fisik pada tubuh akibat cedera atau penyakit. Fisioterapi bisa dilakukan pada pasien dari semua rentang usia, misalnya untuk mengobati sakit punggung, persiapan olahraga, hingga persiapan persalinan.;200000
PC-XX-11;CTG;digunakan untuk memantau denyut jantung janin dan kontraksi rahim. melihat ada tidaknya gangguan pada bayi sebelum atau selama persalinan, sehingga, dokter dan bidan bisa memberi pertolongan dengan segera jika ada perubahan pada denyut jantung janin maupun kontraksi rahim;178500
PC-XX-12;EKG;tes sederhana untuk mengukur dan merekam aktivitas listrik jantung. Tes ini menggunakan mesin pendeteksi impuls listrik yang disebut elektrokardiograf. Elektrokardiograf akan menerjemahkan impuls listrik menjadi grafik yang ditampilkan pada layar pemantau;140000
PC-XX-13;Screening Retina;untuk memeriksa kondisi retina mata secara menyeluruh. Tujuannya untuk mendeteksi adanya kerusakan retina atau masalah yang berkaitan dengan menurunnya fungsi retina. Misalnya retinopati prematuritas, glaukoma, ablasio retina, diabetic retinopathy, dan degenerasi makula;240000
PC-XX-14;Nasal Endoscopy;prosedur untuk melihat saluran hidung dan sinus;30000
PC-XX-15;OAE (Oto Akustik Emision);"memeriksa fungsi dari sel rambut terluar pada koklea. Probe menutup saluran telinga dan menghasilkan suara; koklea akan mengeluarkan suara saat mengolah suara ini. Suara dapat ditangkap oleh mikrofon yang peka terhadap suara yang ada didalam probe. Hal yang terjadi ini disebut otacoustic emission. Pemeriksaan ini dapat dilakukan dengan stimulasi jangkuan frekuensi luas atau frekuensi spesifik, hanya mengukur area tertentu dari sel rambut.";600000
PC-XX-16;Panoramic Gigi; salah satu foto Rontgen yang digunakan dalam kedokteran gigi untuk mendapatkan gambaran gigi dan jaringan lunak di sekitarnya. Pemeriksaan panoramik merupakan pemeriksaan non invasif dan merupakan prosedur ekstraoral sederhana yang menggambarkan daerah rahang atas dan rahang bawah pada satu film.  Pemeriksaan ini memberikan informasi pada dokter mengenai sinus maxillary, posisi gigi, dan kelainan tulang di daerah mulut. Pemeriksaan panoramik digunakan untuk merancang terapi atau pengobatan pada pasien gigi dan mulut. ;333000
PC-XX-17;Mammography;proses menggunakan sinar X energi rendah (biasanya sekitar 30 kVp) untuk memeriksa payudara manusia untuk diagnosis dan skrining. Tujuan mamografi adalah deteksi dini kanker payudara, biasanya melalui deteksi massa karakteristik atau mikrokalsifikasi.;450000
PC-XX-18;Treadmill; pemeriksaan fisik jantung yang memberikan informasi apakah jantung memiliki asupan darah dan oksigen dari sirkulasi saat terjadi stress fisik. Tes treadmill juga dilakukan untuk memperoleh informasi penting apabila ada kelainan dari irama jantung dan tekanan darah;
PC-XX-19;BONE DENSITOMETRI;Mengetahui massa atau kepadatan tulang untuk deteksi osteoporosis dapat dilakukan dengan pemeriksaan menggunakan Hologic Discovery Bone Densitometry. Waktu pemeriksaan yang relative singkat dan minim radiasi, Bone Densitometry aman bagi orang lanjut usia, dan anak-anak dengan kelainan tulang tetap tidak dianjurkan bagi wanita hamil.;613000
PC-XX-20;Rontgen  atau X-Ray Foto; tindakan pemeriksaan medis yang menggunakan radiasi untuk mengambil gambar bagian dalam dari tubuh seseorang. Utamanya, rontgen digunakan untuk mendiagnosa masalah kesehatan dan yang lainnya untuk pemantauan kondisi kesehatan yang ada. ;120000
PC-XX-21;Hemodialisa;terapi pengganti ginjal yang menggunakan alat khusus dengan tujuan untuk mengeluarkan toksin uremik dan mengatur cairan, elektrolit tubuh;130000
