,transaction_logistic_pharmacy_id,date,drug_supplier_id,total
0,GB71RTNZ68317271445503,2019-03-24 13:28:19,dsupp24186049,224332000
1,GB85ASUY52528177387365,2016-10-04 19:30:38,dsupp86637336,3011564000
2,GB26LVRR49076285667654,2019-12-08 17:22:59,dsupp56421835,3482695000
3,GB45GMBI20225017236873,2019-03-16 04:33:36,dsupp14798290,2517430000
4,GB83QTOS20340839255799,2019-04-19 23:46:09,dsupp39836038,1273537000
5,GB94IDQP59407467623136,2018-07-20 15:20:32,dsupp19565330,3330994000
6,GB21WZGG78044502605175,2019-07-22 14:28:01,dsupp17274531,845272000
7,GB57YXOH08595528121892,2018-04-29 09:37:20,dsupp56421835,2501443000
8,GB63OJVK09882005809390,2017-08-20 14:02:47,dsupp58214817,686001000
9,GB66KKFF68987945131518,2018-02-02 14:24:46,dsupp71829029,1642375000
10,GB17VFFH51325934699567,2016-06-12 07:52:21,dsupp15546999,2802438000
11,GB27VNAX62424656841213,2019-07-28 03:03:20,dsupp86620178,1016185000
12,GB15BIRW75195960352866,2017-09-25 23:44:51,dsupp01587166,3729412000
13,GB35YHSJ50007526263330,2019-06-16 06:57:27,dsupp19180007,2626019000
14,GB51QWQN45025228044556,2019-06-09 16:47:18,dsupp22417657,3541920000
15,GB85HHKS60637266141217,2016-07-12 19:33:36,dsupp90825385,2031415000
16,GB06WCTM86993429469943,2016-10-27 20:26:56,dsupp06726706,2034664000
17,GB69ETQA93468124481684,2019-12-17 21:09:15,dsupp85567122,2379575000
18,GB59THGH05518339579667,2017-08-19 15:08:33,dsupp63336504,415565000
19,GB41FRPX44474032479367,2019-03-16 22:31:25,dsupp58214817,1466188000
20,GB75QDAN64962743917520,2018-04-03 06:33:47,dsupp73766698,2458346000
21,GB71FSMK68785596724211,2018-10-10 06:06:32,dsupp34171202,2612075000
22,GB07FFRZ90474614722860,2018-12-30 14:33:12,dsupp62386531,3464171000
23,GB75GBJF22721761909963,2018-10-18 09:16:51,dsupp90825385,1529382000
24,GB11TEPL58554992740689,2017-05-15 03:33:20,dsupp71829029,1913974000
25,GB93MFQN55914489581878,2018-11-29 17:19:03,dsupp63336504,3355091000
26,GB53DMPV98686171270538,2019-01-31 00:39:00,dsupp72812877,2527757000
27,GB98IVNW67289466975862,2016-09-18 08:21:03,dsupp89350461,229729000
28,GB38EJFN89437938425250,2016-02-24 18:28:19,dsupp71829029,348899000
