,transaction_logistic_pharmacy_id,drug_id,quantity
0,GB71RTNZ68317271445503,drug39664051,576
1,GB71RTNZ68317271445503,drug45996863,881
2,GB71RTNZ68317271445503,drug18797701,262
3,GB71RTNZ68317271445503,drug45996863,334
4,GB71RTNZ68317271445503,drug94575323,777
5,GB71RTNZ68317271445503,drug13038472,340
6,GB71RTNZ68317271445503,drug37858179,992
7,GB71RTNZ68317271445503,drug80124078,838
8,GB71RTNZ68317271445503,drug43043958,910
9,GB71RTNZ68317271445503,drug39664051,105
10,GB71RTNZ68317271445503,drug42187806,861
11,GB71RTNZ68317271445503,drug75339562,495
12,GB71RTNZ68317271445503,drug40052861,509
13,GB71RTNZ68317271445503,drug49452730,467
14,GB71RTNZ68317271445503,drug51423551,593
15,GB71RTNZ68317271445503,drug09332102,504
16,GB71RTNZ68317271445503,drug31999410,735
17,GB71RTNZ68317271445503,drug03704639,310
18,GB71RTNZ68317271445503,drug52874741,148
19,GB71RTNZ68317271445503,drug00296038,558
20,GB71RTNZ68317271445503,drug29155903,802
21,GB71RTNZ68317271445503,drug13038472,663
22,GB71RTNZ68317271445503,drug34789896,779
23,GB71RTNZ68317271445503,drug26446547,532
24,GB71RTNZ68317271445503,drug78223950,604
25,GB71RTNZ68317271445503,drug52419621,994
26,GB71RTNZ68317271445503,drug07954108,614
27,GB71RTNZ68317271445503,drug45482502,286
28,GB71RTNZ68317271445503,drug72889619,201
29,GB71RTNZ68317271445503,drug45996863,331
30,GB71RTNZ68317271445503,drug82066062,479
31,GB71RTNZ68317271445503,drug53526540,609
32,GB71RTNZ68317271445503,drug79748780,477
33,GB71RTNZ68317271445503,drug29155903,521
34,GB71RTNZ68317271445503,drug90482731,316
35,GB71RTNZ68317271445503,drug63247565,692
36,GB71RTNZ68317271445503,drug22125507,555
37,GB71RTNZ68317271445503,drug45403330,599
38,GB71RTNZ68317271445503,drug51671051,496
39,GB71RTNZ68317271445503,drug19384863,501
40,GB71RTNZ68317271445503,drug52419621,772
41,GB71RTNZ68317271445503,drug45403330,142
42,GB71RTNZ68317271445503,drug38178634,675
43,GB71RTNZ68317271445503,drug80279068,709
44,GB71RTNZ68317271445503,drug16108141,946
45,GB71RTNZ68317271445503,drug90435782,433
46,GB71RTNZ68317271445503,drug60470010,353
47,GB71RTNZ68317271445503,drug17244244,928
48,GB71RTNZ68317271445503,drug80124078,356
49,GB71RTNZ68317271445503,drug38475368,552
50,GB71RTNZ68317271445503,drug47051621,486
51,GB71RTNZ68317271445503,drug90626067,302
52,GB71RTNZ68317271445503,drug07596964,650
53,GB71RTNZ68317271445503,drug37858179,503
54,GB71RTNZ68317271445503,drug09332102,844
55,GB71RTNZ68317271445503,drug55536073,174
56,GB85ASUY52528177387365,drug12503070,913
57,GB85ASUY52528177387365,drug85864856,600
58,GB85ASUY52528177387365,drug85881884,308
59,GB85ASUY52528177387365,drug11824657,854
60,GB85ASUY52528177387365,drug63617689,614
61,GB85ASUY52528177387365,drug36646647,602
62,GB85ASUY52528177387365,drug51906948,839
63,GB85ASUY52528177387365,drug53526540,979
64,GB85ASUY52528177387365,drug27231500,610
65,GB85ASUY52528177387365,drug68272647,148
66,GB85ASUY52528177387365,drug91280893,834
67,GB85ASUY52528177387365,drug19384863,752
68,GB85ASUY52528177387365,drug35020578,348
69,GB85ASUY52528177387365,drug36537068,425
70,GB85ASUY52528177387365,drug03704639,191
71,GB85ASUY52528177387365,drug59470267,216
72,GB85ASUY52528177387365,drug92078413,657
73,GB85ASUY52528177387365,drug47051621,341
74,GB85ASUY52528177387365,drug59016069,230
75,GB85ASUY52528177387365,drug24571234,163
76,GB85ASUY52528177387365,drug78665699,102
77,GB85ASUY52528177387365,drug53526540,842
78,GB85ASUY52528177387365,drug07437342,716
79,GB85ASUY52528177387365,drug05810291,845
80,GB85ASUY52528177387365,drug37591403,950
81,GB85ASUY52528177387365,drug12890255,201
82,GB85ASUY52528177387365,drug36775507,273
83,GB85ASUY52528177387365,drug75324698,378
84,GB85ASUY52528177387365,drug31004220,566
85,GB85ASUY52528177387365,drug18797701,284
86,GB85ASUY52528177387365,drug22852205,905
87,GB85ASUY52528177387365,drug54349650,408
88,GB85ASUY52528177387365,drug12503070,684
89,GB85ASUY52528177387365,drug18797701,630
90,GB85ASUY52528177387365,drug34105634,495
91,GB85ASUY52528177387365,drug31999410,494
92,GB85ASUY52528177387365,drug11824657,530
93,GB85ASUY52528177387365,drug91871275,595
94,GB85ASUY52528177387365,drug81285006,774
95,GB85ASUY52528177387365,drug07951190,405
96,GB85ASUY52528177387365,drug05810291,183
97,GB85ASUY52528177387365,drug70682915,469
98,GB85ASUY52528177387365,drug13038472,338
99,GB85ASUY52528177387365,drug90730092,448
100,GB85ASUY52528177387365,drug54349650,306
101,GB85ASUY52528177387365,drug96335857,851
102,GB85ASUY52528177387365,drug27231500,998
103,GB85ASUY52528177387365,drug87480702,101
104,GB85ASUY52528177387365,drug82563585,863
105,GB85ASUY52528177387365,drug30212688,547
106,GB85ASUY52528177387365,drug63617689,162
107,GB85ASUY52528177387365,drug12503070,713
