,transaction_sale_only_pharmacy_id,drug_id,quantity
0,GB24MNZS09561212243593,drug24274852,6
1,GB24MNZS09561212243593,drug02684192,6
2,GB24MNZS09561212243593,drug03704639,9
3,GB24MNZS09561212243593,drug82627058,2
4,GB24MNZS09561212243593,drug30212688,9
5,GB97GCXM31055346258855,drug66048138,9
6,GB97GCXM31055346258855,drug04679172,5
7,GB97GCXM31055346258855,drug65864098,10
8,GB97GCXM31055346258855,drug66600541,5
9,GB97GCXM31055346258855,drug31410335,7
10,GB97GCXM31055346258855,drug60470010,1
11,GB97GCXM31055346258855,drug31282017,1
12,GB46QWOS89233893528080,drug49452730,9
13,GB14AGWH89791464050392,drug09332102,5
14,GB14AGWH89791464050392,drug40688589,4
15,GB14AGWH89791464050392,drug43279241,5
16,GB14AGWH89791464050392,drug66048138,1
17,GB14AGWH89791464050392,drug03209257,5
18,GB14AGWH89791464050392,drug06536879,3
19,GB14AGWH89791464050392,drug98928200,9
20,GB14AGWH89791464050392,drug80124078,6
21,GB14AGWH89791464050392,drug81459506,5
22,GB86EGFV75801531500463,drug60282545,1
23,GB86EGFV75801531500463,drug02277240,2
24,GB86EGFV75801531500463,drug81459506,2
25,GB86EGFV75801531500463,drug63702156,5
26,GB86EGFV75801531500463,drug45482502,5
27,GB86EGFV75801531500463,drug81285006,2
28,GB86EGFV75801531500463,drug60843760,8
29,GB86EGFV75801531500463,drug81472369,9
30,GB86EGFV75801531500463,drug58415733,8
31,GB86EGFV75801531500463,drug94679120,3
32,GB88ZNQH58814593088113,drug09332102,4
33,GB88ZNQH58814593088113,drug09768543,1
34,GB88ZNQH58814593088113,drug75324698,10
35,GB88ZNQH58814593088113,drug36537068,2
36,GB88ZNQH58814593088113,drug38475368,10
37,GB88ZNQH58814593088113,drug94679120,9
38,GB88ZNQH58814593088113,drug89581438,8
39,GB42IPQX52867496119567,drug09768543,8
40,GB42IPQX52867496119567,drug90419812,5
41,GB42IPQX52867496119567,drug94449822,2
42,GB66FNCB00552794858792,drug34105634,8
43,GB66FNCB00552794858792,drug53526540,2
44,GB66FNCB00552794858792,drug91084545,7
45,GB66FNCB00552794858792,drug90188947,4
46,GB38TXSE51343845706734,drug75324698,4
47,GB38TXSE51343845706734,drug22155948,10
48,GB38TXSE51343845706734,drug51976255,9
49,GB38TXSE51343845706734,drug72486597,7
50,GB38TXSE51343845706734,drug31004220,3
51,GB38TXSE51343845706734,drug82307868,2
52,GB64PWGD44533327267956,drug76207815,4
53,GB64PWGD44533327267956,drug94575323,5
54,GB64PWGD44533327267956,drug35020578,8
55,GB13THOI30700534227549,drug78665699,2
56,GB13THOI30700534227549,drug44812263,3
57,GB13THOI30700534227549,drug91871275,9
58,GB50VHWA64342211459549,drug55536073,2
59,GB50VHWA64342211459549,drug70453034,4
60,GB50VHWA64342211459549,drug63758054,2
61,GB50VHWA64342211459549,drug24714877,10
