,transaction_sale_pharmacy_id,drug_id,quantity
0,GB71PBZY22895990768210,drug07216213,8
1,GB71PBZY22895990768210,drug23177871,9
2,GB71PBZY22895990768210,drug56280364,7
3,GB71PBZY22895990768210,drug60282545,7
4,GB71PBZY22895990768210,drug56280364,9
5,GB71PBZY22895990768210,drug07954108,8
6,GB71PBZY22895990768210,drug93448178,10
7,GB62HRFD32906348713110,drug17244244,2
8,GB15TIRW79860661345545,drug78279223,4
9,GB15TIRW79860661345545,drug05244287,2
10,GB42AONA27114402623619,drug10580707,3
11,GB42AONA27114402623619,drug30212688,5
12,GB42AONA27114402623619,drug02684192,10
13,GB42AONA27114402623619,drug53537447,6
14,GB42AONA27114402623619,drug96637593,4
15,GB42AONA27114402623619,drug83393358,8
16,GB42AONA27114402623619,drug82563585,9
17,GB17XRMA39408277207079,drug73216940,1
18,GB17XRMA39408277207079,drug07954108,2
19,GB17XRMA39408277207079,drug28011682,9
20,GB17XRMA39408277207079,drug81285006,7
21,GB17XRMA39408277207079,drug35020578,3
22,GB95OSDX25603516309793,drug62529365,5
23,GB95OSDX25603516309793,drug82563585,6
24,GB73TILE99896166451931,drug20114367,1
25,GB73TILE99896166451931,drug67522019,4
26,GB73TILE99896166451931,drug02160115,3
27,GB73TILE99896166451931,drug10580707,9
28,GB73TILE99896166451931,drug47051621,4
29,GB73TILE99896166451931,drug82627058,4
30,GB73TILE99896166451931,drug19384863,2
31,GB47QDYJ79876812148237,drug57961255,2
32,GB47QDYJ79876812148237,drug81163762,6
33,GB47QDYJ79876812148237,drug96966044,5
34,GB47QDYJ79876812148237,drug82627058,8
35,GB47QDYJ79876812148237,drug89581438,6
36,GB47QDYJ79876812148237,drug82627058,9
37,GB47QDYJ79876812148237,drug51423551,10
38,GB47QDYJ79876812148237,drug77438058,5
39,GB47QDYJ79876812148237,drug70415612,6
40,GB47QDYJ79876812148237,drug31282017,1
41,GB79VAZJ07329638220957,drug84538864,5
42,GB79VAZJ07329638220957,drug63702156,9
43,GB79VAZJ07329638220957,drug22125507,6
44,GB79VAZJ07329638220957,drug91280893,4
45,GB79VAZJ07329638220957,drug07437342,1
46,GB79VAZJ07329638220957,drug28011682,9
47,GB79VAZJ07329638220957,drug83741951,3
48,GB79VAZJ07329638220957,drug07954108,3
49,GB79VAZJ07329638220957,drug93448178,4
50,GB79VAZJ07329638220957,drug93448178,8
51,GB56RBTR65021413289392,drug07005824,8
52,GB62KXXX16137891165977,drug24274852,1
53,GB49CUHH27701924172632,drug35061861,4
54,GB49CUHH27701924172632,drug13038472,2
55,GB49CUHH27701924172632,drug13038472,9
56,GB49CUHH27701924172632,drug62529365,6
57,GB49CUHH27701924172632,drug81285006,9
58,GB49CUHH27701924172632,drug39664051,1
59,GB49CUHH27701924172632,drug02684192,8
60,GB08JWAW48043319716317,drug91280893,10
61,GB08JWAW48043319716317,drug35020578,3
62,GB08JWAW48043319716317,drug85881884,4
63,GB08JWAW48043319716317,drug80453208,1
64,GB08JWAW48043319716317,drug12890255,7
65,GB08JWAW48043319716317,drug14294525,5
66,GB11IBPT06443368893470,drug70453034,1
67,GB11IBPT06443368893470,drug98928200,4
68,GB11IBPT06443368893470,drug63441802,9
69,GB11IBPT06443368893470,drug92078413,8
70,GB11IBPT06443368893470,drug85864856,4
71,GB11IBPT06443368893470,drug82307868,4
72,GB52YOTS06564709634197,drug93448178,10
73,GB52YOTS06564709634197,drug07139598,1
74,GB55LIBB37498794050162,drug37448561,9
75,GB55LIBB37498794050162,drug07139598,5
76,GB38BOYE00073357517364,drug39664051,2
77,GB71EPKL35414317799769,drug81459506,6
78,GB71EPKL35414317799769,drug12890255,9
79,GB71EPKL35414317799769,drug48733458,6
80,GB71EPKL35414317799769,drug96335857,9
81,GB71EPKL35414317799769,drug73216940,1
82,GB71EPKL35414317799769,drug05244287,8
83,GB44VPRP49166746824005,drug80453208,10
84,GB44VPRP49166746824005,drug91280893,5
85,GB44VPRP49166746824005,drug71734989,4
86,GB44VPRP49166746824005,drug31004220,3
87,GB44VPRP49166746824005,drug80279068,4
88,GB44VPRP49166746824005,drug00666374,7
89,GB44VPRP49166746824005,drug96637593,6
90,GB44VPRP49166746824005,drug97899020,2
91,GB44VPRP49166746824005,drug07951190,10
92,GB44VPRP49166746824005,drug42187806,3
93,GB61HDLY63282067144174,drug95984926,6
94,GB61HDLY63282067144174,drug53284600,3
95,GB61HDLY63282067144174,drug03209257,9
96,GB61HDLY63282067144174,drug81570454,1
97,GB61HDLY63282067144174,drug82066062,9
